Order name,Day,Shipping region,Shipping city,Total sales (last click),First order referring channel,Order UTM campaign,Referring channel,UTM campaign name,Notes,Found on shopify or zoho
#83608,04/08/2026,Kerala,CALICUT,7308.3,direct,,direct,,,zoho sales iq
#83609,04/08/2026,Karnataka,Bangalore,4929.15,google,pmaxbleeders_20714640181,google,pmaxbleeders_20714640181,,zoho sales iq
#83606,04/08/2026,Delhi,delhi,11048.3,direct,,direct,,,zoho sales iq
#83611,04/08/2026,Tamil Nadu,Ramanathapuram,11518.2,ig,041126_Advantage Catalog_Lighting_CBO_ASC_Evergreen_12024154501047038,direct,search_brand_18098202173,,zoho sales iq
#83610,04/08/2026,Delhi,New Delhi,2629.1,google,Pmaxbleeders_20714640181,direct,,,zoho sales iq
#83612,04/08/2026,Telangana,Hyderabad,2455,Tata,,Tata,,,zoho sales iq
#83615,04/08/2026,Odisha,Sundargarh,3999,Facebook,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_12024154501047038,direct,,,zoho sales iq
#83613,04/08/2026,Uttar Pradesh,Agra,42568.2,direct,,direct,,,shopify
#83614,04/08/2026,Maharashtra,Navi Mumbai,19034.9,direct,,direct,,,zoho sales iq
#83619,04/08/2026,Tamil Nadu,Chennai,7918.2,google,ShoppingIndexdecor_23361314596,direct,,,zoho sales iq
#83617,04/08/2026,Haryana,Gurugram,4799,direct,,direct,,,shopify
#83616,04/08/2026,Haryana,Gurgaon,4799,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,,shopify
#83618,04/08/2026,Kerala,Payyannur,6800,,,,,,zoho sales iq
#83622,04/08/2026,Karnataka,Mangalore,9178.2,google,,direct,,,shopify
#83620,04/08/2026,Haryana,Gurgaon,8638.2,Facebook ,041126_advantage+catalog_lighting_cbo_asc_evergreen_120241545010470384,direct,,,shopify
#83621,04/08/2026,Karnataka,Bangalore,19718.3,Facebook,041126_advantage catalog_lighting_cbo_asc_evergreen_120241545010470384,Facebook,041126_advantage catalog_lighting_cbo_asc_evergreen_120241545010470384,,zoho sales iq
#83623,04/08/2026,Telangana,Miyapur,20198,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,,shopify
#83625,04/08/2026,Telangana,Hyderabad,15658.2,google,Search_Brand_18098202173,direct,,,zoho sales iq
#83624,04/08/2026,Assam,Guwahati,3199,facebook,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,facebook,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,,shopify
#83626,05/08/2026,Odisha,Bhubaneswar,23299,facebook,060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384,facebook,060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384,,shopify
#83628,05/08/2026,Kerala,Alappuzha,14218.2,google,,google,,,shopify
#83629,05/08/2026,Uttar Pradesh,Noida,4319.1,google,Search_Brand_18098202173,google,Search_Brand_18098202173,,shopify
#83630,05/08/2026,Maharashtra,Mumbai,2899.1,instagram,041126_Advantage Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,instagram,041126_Advantage Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,,shopify
#83634,05/08/2026,Maharashtra,Mumbai,12199,direct,LightingShopping_21285710791,google,LightingShopping_21285710791,,zoho sales iq
#83633,05/08/2026,Mizoram,LAWNGTLAI,5068.07,Tata,,Tata,,,zoho sales iq
#83635,05/08/2026,Kerala,Kochi,10228.15,google,pmaxbleeders_20714640181,Referral,,,zoho sales iq
#83632,05/08/2026,Mizoram,LAWNGTLAI,5068.07,Tata,,Tata,,,zoho sales iq
#83631,05/08/2026,Mizoram,Kolasib,10099,Amazon,,Amazon,,,zoho sales iq
#83638,05/08/2026,Telangana,Hyderabad,15998,direct,,google,,,shopify
#83630,05/08/2026,Maharashtra,Mumbai,1500,instagram,041126_Advantage Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,instagram,041126_Advantage Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,,shopify
#83639,05/08/2026,Rajasthan,Jaisalmer,7564.15,direct,,direct,,,zoho sales iq
#83636,05/08/2026,Karnataka,Bengalore,6235,Tata,,Tata,,,zoho sales iq
#83640,05/08/2026,Rajasthan,Jaipur,3499,bing,PmaxLightingBing,bing,PmaxLightingBing,,shopify
#83642,05/08/2026,West Bengal,KOLKATA,4799,google,Pmaxbleeders_20714640181,google,Pmaxbleeders_20714640181,,shopify
#83641,05/08/2026,Haryana,Faridabad,8997,direct,,google,PMaxLightingNC_16828666790,,shopify
#83643,05/08/2026,Delhi,Delhi,4799,google,LightingShopping_21285710791,direct,,,zoho sales iq
#83645,05/08/2026,Uttar Pradesh,Noida,98339.9,google,search_brand_18098202173,Referral,,,zoho sales iq
#83644,05/08/2026,Kerala,Aluva,22269.15,,,,,,zoho sales iq
#83647,05/08/2026,Haryana,Gurugram,8798,direct,,razorpay,,,zoho sales iq
#83646,05/08/2026,Tamil Nadu,Chennai,24054.15,Referral,,direct,,,zoho sales iq
#83650,05/08/2026,Rajasthan,Jaipur,42114.6,direct,,direct,,,zoho sales iq
#83648,05/08/2026,Punjab,Bathinda,2989.1,facebook,060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384,facebook,060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384,,shopify
#83651,05/08/2026,Maharashtra,Mumbai,3499,google,Search_Brand_18098202173,google,Search_Brand_18098202173,,shopify
#83649,05/08/2026,Karnataka,Bangalorw,6799,google,LightingShopping_21285710791,google,LightingShopping_21285710791,,zoho sales iq
#83652,05/08/2026,Maharashtra,Pune,4999,direct,,direct,,,zoho sales iq
#83653,05/08/2026,Goa,"Mapusa, Guirim",29094,direct,,direct,,,zoho sales iq
#83654,05/08/2026,Maharashtra,Mumbai,4998,google,,google,,,shopify
#83655,05/08/2026,Telangana,Lemoor,24796,instagram,041126_advantage catalog_lighting_cbo_asc_evergreen_120241545010470384,instagram,,,zoho sales iq
#83657,05/08/2026,Maharashtra,Mumbai,15599,google,LightingSearchaimax,direct,,,zoho sales iq
#83656,05/08/2026,Uttar Pradesh,MIRZAPUR,2999,google,,google,,,shopify
#83660,05/08/2026,Tamil Nadu,Chennai,15198,google,,direct,,,shopify
#83658,05/08/2026,Delhi,DELHI,6499,instagram,041126_Advantage Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,instagram,041126_Advantage Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,,shopify
#83659,05/08/2026,Madhya Pradesh,Seoni,44434.16,google,pmaxlightingnc_16828666790,google,pmaxlightingnc_16828666790,,zoho sales iq
#83661,05/08/2026,Haryana,Kadarpur,20787.3,direct,,direct,,,zoho sales iq
#83662,05/08/2026,Jammu and Kashmir,Jammu,31045.5,facebook,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,facebook,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,,shopify
#83666,05/08/2026,Tamil Nadu,Tirupur,12689.1,google,,google,,,shopify
#83665,05/08/2026,Maharashtra,Nagpur,6998,google,LightingShopping_21285710791,google,LightingShopping_21285710791,,shopify
#83663,05/08/2026,Telangana,Hyderabad,41657.4,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,,shopify
#83664,05/08/2026,Telangana,Hyderabad,11699,direct,,direct,,,shopify
#83668,06/08/2026,Maharashtra,MUMBAI,14038.2,google,PMaxLightingNC_16828666790,direct,,,zoho sales iq
#83667,06/08/2026,Goa,Porvorim,5399,google,Search_Brand_18098202173,google,Search_Brand_18098202173,,shopify
#83669,06/08/2026,Karnataka,Bengaluru,3869.1,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,,shopify
#83670,06/08/2026,West Bengal,NORTH24PARAGANAS,3494.65,Tata,,Tata,,,zoho sales iq
#83674,06/08/2026,Gujarat,Vadodara,49099,google,PMaxLightingNC_16828666790,google,PMaxLightingNC_16828666790,,shopify
#83673,06/08/2026,Maharashtra,Mumbai,3116,Tata,,Tata,,,zoho sales iq
#83676,06/08/2026,Himachal Pradesh,Solan,35608.2,,,,,,zoho sales iq
#83671,06/08/2026,Tamil Nadu,Coimbatore,5479,Tata,,Tata,,,zoho sales iq
#83672,06/08/2026,Maharashtra,Mumbai,3116,Tata,,Tata,,,zoho sales iq
#83675,06/08/2026,West Bengal,Kolkata,38000,direct,,direct,,,zoho sales iq
#83679,06/08/2026,Telangana,Hyderabad,10258.2,direct,,direct,,,zoho sales iq
#83678,06/08/2026,Gujarat,Vadodara,5699,google,Pmaxbleeders_20714640181,google,Pmaxbleeders_20714640181,,shopify
#83677,06/08/2026,Maharashtra,Pune,10197.45,direct,,direct,,,zoho sales iq
#83680,06/08/2026,Uttar Pradesh,Prayagraj,6374.15,direct,,direct,,,zoho sales iq
#83682,06/08/2026,Maharashtra,MUMBAI,929,Amazon,,Amazon,,,zoho sales iq
#83681,06/08/2026,Uttarakhand,Rishikesh,501576,direct,,direct,,,zoho sales iq
#83685,06/08/2026,Maharashtra,Mumbai,10618.2,google,LightingSearchaimax,direct,,,zoho sales iq
#83683,06/08/2026,Goa,Aldona,3199,google,Search_Brand_18098202173,google,Search_Brand_18098202173,,shopify
#83684,06/08/2026,Maharashtra,"East, Mumbai",4589.15,google,search_brand_18098202173,google,search_brand_18098202173,,zoho sales iq
#83688,06/08/2026,Uttar Pradesh,Lucknow,20878.2,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,,zoho sales iq
#83686,06/08/2026,Haryana,GURUGRAM,9875.3,Tata,,Tata,,,zoho sales iq
#83687,06/08/2026,Haryana,GURUGRAM,9875.3,Tata,,Tata,,,zoho sales iq
#83689,06/08/2026,Goa,North Goa,12419.1,direct,,direct,,,zoho sales iq
#83690,06/08/2026,West Bengal,Kolkata,9800,Facebook,041126_advantage+catalog_lighting_cbo_asc_evergreen_120241545010470384,Direct,,,zoho sales iq
#83691,06/08/2026,Maharashtra,Dhule,25269,Facebook,041126_advantage+catalog_lighting_cbo_asc_evergreen_120241545010470384,direct,,,zoho sales iq
#83693,06/08/2026,Maharashtra,Pune,5799,google,ShoppingIndexdecor_23361314596,google,ShoppingIndexdecor_23361314596,,shopify
#83692,06/08/2026,Maharashtra,Mumbai,13342.45,Facebook ,041126_advantage catalog_lighting_cbo_asc_evergreen_120241545010470384,Facebook,041126_advantage catalog_lighting_cbo_asc_evergreen_120241545010470384,,zoho sales iq
#83694,06/08/2026,Maharashtra,PUNE,4079.15,Facebook ,072926_advantage+catalog_terracotta_decor_cbo_asc_evergreen_120246907043390384,Facebook,072926_advantage+catalog_terracotta_decor_cbo_asc_evergreen_120246907043390384,,zoho sales iq
#83696,06/08/2026,Telangana,Hyderabad,4099,google,Search_Brand_18098202173,google,Search_Brand_18098202173,,shopify
#83695,06/08/2026,Chandigarh,Chandigarh,13598,google,PMaxLightingNC_16828666790,google,PMaxLightingNC_16828666790,,shopify
#83697,07/08/2026,Madhya Pradesh,Bhopal,4769.1,google,Search_Brand_18098202173,google,Search_Brand_18098202173,,shopify
#83699,07/08/2026,Maharashtra,Mumbai,8839.15,direct,,direct,,,zoho sales iq
#83698,07/08/2026,Punjab,Sahibzada Ajit Singh Nagar,12419.1,google,Search_Brand_18098202173,google,Search_Brand_18098202173,,zoho sales iq
#83702,07/08/2026,Delhi,New Delhi,20798.4,Bing,,direct,,,zoho sales iq
#83701,07/08/2026,Telangana,Hyderabad,5857,Tata,,Tata,,,zoho sales iq
#83700,07/08/2026,Maharashtra,MUMBAI,3499,Amazon,,Amazon,,,zoho sales iq
#83703,07/08/2026,Telangana,Hyderabad,15306.8,facebook,060326_bof_retargeting_cbo_sales_warm_hot_evergreen_120244319824490384,Facebook,060326_bof_retargeting_cbo_sales_warm_hot_evergreen_120244319824490384,,zoho sales iq
#83704,07/08/2026,Uttar Pradesh,NOIDA,50711.2,google,search_brand_18098202173,google,search_brand_18098202173,,zoho sales iq
#83705,07/08/2026,Maharashtra,RAIGARH,5598,Amazon,,Amazon,,,zoho sales iq
#83708,07/08/2026,Uttarakhand,Dehradun,21397,google,PMaxLightingNC_16828666790,google,PMaxLightingNC_16828666790,,shopify
#83712,07/08/2026,Andhra Pradesh,"VISAKHAPATNAM,",499,Amazon,,Amazon,,,zoho sales iq
#83711,07/08/2026,Uttar Pradesh,Agra,5524.71,Tata,,Tata,,,zoho sales iq
#83710,07/08/2026,Karnataka,Devanahalli,8922.45,direct,,google,pmaxbleeders_20714640181,,zoho sales iq
#83709,07/08/2026,Uttar Pradesh,Agra,6139.29,Tata,,Tata,,,zoho sales iq
#83715,07/08/2026,Delhi,New Delhi,35996,Google,Search_Brand_18098202173,direct,,,zoho sales iq
#83714,07/08/2026,Maharashtra,Mumbai,6999,google,ShoppingIndexdecor_23361314596,google,ShoppingIndexdecor_23361314596,,shopify
#83713,07/08/2026,Maharashtra,Mumbai,1839,google,ShoppingIndexdecor_23361314596,google,ShoppingIndexdecor_23361314596,,zoho sales iq
#83699,07/08/2026,Maharashtra,Mumbai,"10,839.15",direct,,direct,,,zoho sales iq
#83716,07/08/2026,Delhi,Delhi,12598,google,PMaxLightingNC_16828666790,google,PMaxLightingNC_16828666790,,shopify
#83717,07/08/2026,Delhi,New Delhi,4844.15,direct,,Facebook,,,zoho sales iq
#83718,07/08/2026,Karnataka,Bengaluru,7648.3,google,pmaxbleeders_20714640181,google,pmaxbleeders_20714640181,,zoho sales iq
#83719,07/08/2026,Tamil Nadu,Thoothukudi,29911.5,,,,,,zoho sales iq
#83720,07/08/2026,Telangana,Hyderabad,94032.9,direct,,direct,,,zoho sales iq
#83722,07/08/2026,Karnataka,Bengaluru,3806.1,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,,shopify
#83721,07/08/2026,Karnataka,Bengaluru,19799,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,,shopify
#83723,07/08/2026,Uttar Pradesh,Bareilly,7199.1,Facebook,041126_advantage+catalog_lighting_cbo_asc_evergreen_120241545010470384,Facebook,041126_advantage+catalog_lighting_cbo_asc_evergreen_120241545010470384,,zoho sales iq
#83724,07/08/2026,Punjab,Nihal singh wala,7738.2,google,pmaxbleeders_20714640181,google,pmaxbleeders_20714640181,,zoho sales iq
#83725,08/08/2026,Uttar Pradesh,Ghaziabad,9396,Google,ShoppingIndexdecor_23361314596,direct,,,zoho sales iq
#83726,08/08/2026,West Bengal,Islampur,28076.4,google,PMaxLightingNC_16828666790,google,PMaxLightingNC_16828666790,,shopify
#83727,08/08/2026,Goa,Nagoa verna,7299,facebook,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,facebook,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,,shopify
#83729,08/08/2026,Uttar Pradesh,Noida,14219.1,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,,shopify
#83728,08/08/2026,Karnataka,Bengaluru,5799,google,Search_Brand_18098202173,google,Search_Brand_18098202173,,zoho sales iq
#83730,08/08/2026,Maharashtra,MUMBAI,14798,Amazon,,Amazon,,,zoho sales iq
#83733,08/08/2026,Maharashtra,Mumbai,2719.1,instagram,072926_Advantage+Catalog_Terracotta_Decor_CBO_ASC_Evergreen_120246907043390384,instagram,072926_Advantage+Catalog_Terracotta_Decor_CBO_ASC_Evergreen_120246907043390384,,shopify
#83732,08/08/2026,Maharashtra,Karanje,19888.3,,,,,,zoho sales iq
#83731,08/08/2026,Telangana,HYDERABAD,2799,Amazon,,Amazon,,,zoho sales iq
#83734,08/08/2026,Delhi,Delhi,8408,Tata,,Tata,,,zoho sales iq
#83736,08/08/2026,Maharashtra,à¤®à¥à¤‚à¤¬à¤ˆ,3499,google,LightingShopping_21285710791,direct,,,zoho sales iq
#83739,08/08/2026,Tamil Nadu,COIMBATORE,52495,google,LightingShopping_21285710791,google,LightingShopping_21285710791,,shopify
#83735,08/08/2026,Karnataka,Bengaluru,6499,google,LightingSearchaimax,google,LightingSearchaimax,,shopify
#83740,08/08/2026,Andhra Pradesh,Vijayawada,7799,instagram,060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384,instagram,060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384,,shopify
#83738,08/08/2026,Delhi,Delhi,4543.6,Tata,,Tata,,,zoho sales iq
#83737,08/08/2026,Delhi,Delhi,4543.6,Tata,,Tata,,,zoho sales iq
#83742,08/08/2026,Tamil Nadu,chennai,14998,direct,,direct,,,zoho sales iq
#83741,08/08/2026,Delhi,South Delhi,2999,google,ShoppingIndexdecor_23361314596,google,ShoppingIndexdecor_23361314596,,shopify
#83743,08/08/2026,Karnataka,Bangalore,9089.1,direct,,direct,,,zoho sales iq
#83745,08/08/2026,Gujarat,Ahmedabad,5219.1,google,LightingSearchaimax,direct,,,zoho sales iq
#83744,08/08/2026,Haryana,Panipat,3299,instagram,060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384,instagram,060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384,,shopify
#83746,08/08/2026,Karnataka,Bangalore,5268.3,google,lightingshopping_21285710791,google,lightingshopping_21285710791,,zoho sales iq
#83749,08/08/2026,Telangana,Hyderabad,6499,direct,,google,,,zoho sales iq
#83747,08/08/2026,Karnataka,Bengalore,8040.1,Tata,,Tata,,,zoho sales iq
#83748,08/08/2026,Uttar Pradesh,Noida,4439,Tata,,Tata,,,zoho sales iq
#83750,08/08/2026,Madhya Pradesh,Neemuch,2664.15,,,,,,zoho sales iq
#83751,08/08/2026,Telangana,Hyderabad,8699,google,LightingShopping_21285710791,google,LightingShopping_21285710791,,shopify
#83752,08/08/2026,Andhra Pradesh,Vijayawada,24816.6,,,,,,zoho sales iq
#83753,08/08/2026,Karnataka,Bangalore,9179.1,direct,,direct,,,zoho sales iq
#83754,09/08/2026,Karnataka,Bangalore,10257.3,google,LightingSearchaimax,direct,,,zoho sales iq
#83755,09/08/2026,Uttar Pradesh,NOIDA,45714.6,google,Pmaxbleeders_20714640181,direct,,,zoho sales iq
#83757,09/08/2026,Goa,SIOLIM,23579.1,facebook,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,facebook,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,,shopify
#83756,09/08/2026,Haryana,Gurugram,4199,google,PMaxLightingNC_16828666790,google,PMaxLightingNC_16828666790,,shopify
#83758,09/08/2026,Maharashtra,Mumbai,19349.1,direct,,facebook,,,zoho sales iq
#83759,09/08/2026,Haryana,Gurugram,3499,instagram,060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384,instagram,060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384,,shopify
#83760,09/08/2026,Haryana,Gurugram,13598,instagram,060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384,instagram,060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384,,shopify
#83761,09/08/2026,Uttar Pradesh,Mathura,650000,direct,,direct,,,zoho sales iq
#83763,09/08/2026,Maharashtra,Pune,18717.3,direct,,direct,,,zoho sales iq
#83762,09/08/2026,Kerala,Changanassery,5438,google,ShoppingIndexdecor_23361314596,google,ShoppingIndexdecor_23361314596,,shopify
#83764,09/08/2026,Maharashtra,Mumbai,5939.1,instagram,060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384,instagram,060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384,,shopify
#83765,09/08/2026,Karnataka,Bengaluru,7357,google,Pmaxbleeders_20714640181,google,Pmaxbleeders_20714640181,,shopify
#83768,09/08/2026,Haryana,GURUGRAM,17495,google,LightingSearchaimax,google,LightingSearchaimax,,shopify
#83766,09/08/2026,Haryana,Gurgaon,4731.3,google,Search_Brand_18098202173,google,Search_Brand_18098202173,,shopify
#83767,09/08/2026,Karnataka,Bangalore,5014.15,direct,,direct,,,zoho sales iq
#83769,09/08/2026,Maharashtra,Mumbai,4999,instagram,060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384,instagram,060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384,,zoho sales iq
#83771,09/08/2026,Maharashtra,Mumbai,12238.2,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,google,,,shopify
#83770,09/08/2026,Chhattisgarh,Raigarh,18526.6,google,,google,,,zoho sales iq
#83774,09/08/2026,Jammu and Kashmir,Srinagar,26167,direct,,direct,,,zoho sales iq
#83776,09/08/2026,Maharashtra,Nagpur,5167.26,Tata,,Tata,,,zoho sales iq
#83775,09/08/2026,Maharashtra,Nagpur,4097.78,Tata,,Tata,,,zoho sales iq
#83777,09/08/2026,Andhra Pradesh,Anantapur,16399,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,,shopify
#83778,09/08/2026,Goa,"CUPEM, NUVEM, GOA",3779.1,direct,,direct,,,zoho sales iq
#83779,09/08/2026,West Bengal,Kolkata,4769.1,direct,,direct,,,zoho sales iq
#83780,09/08/2026,Karnataka,Bangalore,3779.1,google,Search_Brand_18098202173,google,Search_Brand_18098202173,,shopify
#83782,09/08/2026,Assam,Jorhat,4399,google,Pmaxbleeders_20714640181,google,Pmaxbleeders_20714640181,,shopify
#83781,09/08/2026,Karnataka,Bangalore,23487.3,direct,,direct,,,shopify
#83784,09/08/2026,Jammu and Kashmir,Jammu,32997,google,search_brand_1809820217,google,search_brand_18098202173,,shopify
#83783,09/08/2026,Chandigarh,Chandigarh,4139.1,google,ShoppingIndexdecor_23361314596,google,ShoppingIndexdecor_23361314596,,shopify
#83786,09/08/2026,Uttar Pradesh,Greater Noida,22742.1,google,,chatgpt,,,shopify
#83785,09/08/2026,Odisha,Bhubaneswar,8888,instagram,060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384,instagram,060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384,,shopify
#83797,10/08/2026,West Bengal,Kolkata,3799,Amazon,,Amazon,,,zoho sales iq
#83819,10/08/2026,Goa,Anjuna,43196,google,lightingsearchaimax,google,lightingsearchaimax,,zoho sales iq
#83798,10/08/2026,West Bengal,New Town,7999,google,,direct,,,zoho sales iq
#83825,10/08/2026,Maharashtra,Pimpri-Chinchwad,3499,facebook,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,facebook,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,,shopify
#83802,10/08/2026,Telangana,HYDERABAD,2719.1,google,Search_Brand_18098202173,google,Search_Brand_18098202173,,shopify
#83811,10/08/2026,Maharashtra,Mumbai,2989.1,google,LightingShopping_21285710791,google,LightingShopping_21285710791,,shopify
#83789,10/08/2026,Andhra Pradesh,..Koyyalagudem,18355.5,google,Search_Brand_18098202173,google,Search_Brand_18098202173,,shopify
#83796,10/08/2026,Odisha,Jagatpur,33998,google,PMaxLightingNC_16828666790,google,PMaxLightingNC_16828666790,,shopify
#83808,10/08/2026,Delhi,South West Delhi,5199,google,,google,,,shopify
#83813,10/08/2026,Maharashtra,Pune,15998,direct,,direct,,,shopify
#83820,10/08/2026,Karnataka,Bengaluru,9538.2,google,LightingShopping_21285710791,google,LightingShopping_21285710791,,shopify
#83806,10/08/2026,Jammu and Kashmir,Jammu,56660.4,direct,,direct,,,shopify
#83809,10/08/2026,Karnataka,Bengaluru,7299,direct,,google,,,shopify
#83787,10/08/2026,Karnataka,Bengaluru,4139.1,google,Pmaxbleeders_20714640181,google,Pmaxbleeders_20714640181,,shopify
#83817,10/08/2026,Maharashtra,Mumbai,4949.1,google,Search_Brand_18098202173,google,Search_Brand_18098202173,,shopify
#83826,10/08/2026,Karnataka,Bengaluru,14217.3,direct,,direct,,,shopify
#83815,10/08/2026,Delhi,New Delhi,14998,google,LightingShopping_21285710791,google,LightingShopping_21285710791,,shopify
#83790,10/08/2026,Assam,Guwahati,3699,google,Pmaxbleeders_20714640181,google,Pmaxbleeders_20714640181,,shopify
#83800,10/08/2026,Maharashtra,YAVATMAL,46791,google,,google,,,shopify
#83822,10/08/2026,Maharashtra,Navi Mumbai,2179.1,google,LightingShopping_21285710791,google,LightingShopping_21285710791,,shopify
#83824,10/08/2026,Maharashtra,Mumbai,5848.2,google,Search_Brand_18098202173,google,Search_Brand_18098202173,,shopify
#83814,10/08/2026,Haryana,Gurugram,3418.2,google,BrandShopping_23291591904,google,BrandShopping_23291591904,,shopify
#83804,10/08/2026,Maharashtra,Mumbai,12099,google,Pmaxbleeders_20714640181,google,Pmaxbleeders_20714640181,,shopify
#83799,10/08/2026,Karnataka,Udupi,7599,instagram,041126_Advantage Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,instagram,041126_Advantage Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,,shopify
#83788,10/08/2026,Odisha,Khordha,15299.1,instagram,060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384,instagram,060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384,,shopify
#83827,10/08/2026,Punjab,Amritsar,23899,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,instagram,041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,,shopify
#83791,10/08/2026,Telangana,Hyderabad,10439.1,instagram,060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384,instagram,060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384,,shopify
#83821,10/08/2026,Maharashtra,Pune,5849.1,instagram,041126_Advantage Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,instagram,041126_Advantage Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384,,shopify
#83816,10/08/2026,Gujarat,Ahmedabad,6029.1,google,Pmaxbleeders_20714640181,direct,,,zoho sales iq
#83812,10/08/2026,Delhi,Delhi,4718.42,Tata,,Tata,,,zoho sales iq
#83803,10/08/2026,Maharashtra,Mumbai,7799,,,,,,zoho sales iq
#83818,10/08/2026,Andhra Pradesh,Visakhapatnam,10499,google,Pmaxbleeders_20714640181,direct,,,zoho sales iq
#83823,10/08/2026,Goa,Miramar,6629.15,facebook,060326_bof_retargeting_cbo_sales_warm_hot_evergreen_120244319824490384,facebook,060326_bof_retargeting_cbo_sales_warm_hot_evergreen_120244319824490384,,zoho sales iq
#83805,10/08/2026,Karnataka,Bengaluru,6999,google,,google,,,zoho sales iq
#83810,10/08/2026,Delhi,Delhi,4718.42,Tata,,Tata,,,zoho sales iq
