"Landing page type","Landing page path","UTM source","UTM campaign","Referrer source","Sessions","Pageviews","Conversion rate","Sessions that completed checkout","Sessions that reached checkout","Sessions with cart additions"
"Collection","/collections/compound-pole-lights",,,"search",5,9,0,0,0,0
"Product","/products/donna-coral-ceramic-bowl-orange","google","ShoppingIndexdecor_23361314596","direct",5,9,0,0,0,0
"Product","/products/marchese-6-light-crystal-chandelier-pink","google","Pmaxbleeders_20714640181","direct",1,9,0,0,0,1
"Product","/products/square-outdoor-brown-wall-light-large","google","LightingShopping_21285710791","search",6,9,0,0,0,0
"Product","/products/ria-tiered-ring-sculptural-ceramic-vase-white",,,"direct",9,9,0,0,0,0
"Product","/products/hana-gold-metallic-table-lamp",,,"direct",9,9,0,0,0,0
"Product","/products/dot-spot-wall-light",,,"direct",6,9,0,0,0,0
"Product","/products/gorrsen-led-linear-chandelier-black",,,"direct",7,9,0,0,0,0
"Product","/products/klaviyo-linear-gold-floor-lamp-with-velvet-shade-purple","fb","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",6,9,0,0,0,1
"Product","/products/ceto-3-light-linear-chandelier-black","ig","060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384","social",5,9,0,0,0,1
"Product","/products/aero-matrix-garden-bollard-light","google","LightingShopping_21285710791","search",7,9,0,0,0,0
"Product","/products/kepler-metal-wall-light-gold","google","LightingShopping_21285710791","direct",8,9,0,0,0,0
"Product","/products/argilla-terracotta-vase-medium","fb","072926_Advantage+Catalog_Terracotta_Decor_CBO_ASC_Evergreen_120246907043390384","social",3,9,0,0,0,0
"Product","/products/melrose-metal-lamp-home-decor-lamps-and-lighting","google","PMaxLightingNC_16828666790","email",7,9,0,0,0,1
"Product","/products/jasmine-glass-hanging-light-amber",,,"unknown",2,9,0,0,0,0
"Product","/products/vintage-bronze-wall-light-black","google","BrandShopping_23291591904","search",8,9,0,0,0,0
"Product","/products/marine-1-light-crystal-wall-sconce","fb","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",5,9,0,0,0,0
"Product","/products/sabai-grass-net-pendant-lamp","fb","060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384","direct",1,9,0,0,1,1
"Product","/products/earvara-terracotta-vase-small",,,"search",2,9,0,0,0,1
"Product","/products/petra-marble-wall-light",,,"search",1,9,1,1,1,1
"Product","/products/blumen-bowl-glass-ceiling-light","google","Pmaxbleeders_20714640181","search",2,9,0,0,0,0
"Product","/products/clove-linear-black-floor-lamp-with-bird-nest-rattan-shade","google","LightingShopping_21285710791","direct",2,9,0,0,0,0
"Product","/products/sable-ceramic-decorative-object-gold-black-open-box",,,"direct",9,9,0,0,0,0
"Product","/products/preserved-limonium-grass-champagne-pink",,,"direct",9,9,0,0,0,0
"Product","/products/industrial-loft-wall-sconce-white","google","LightingShopping_21285710791","search",2,9,0,0,0,0
"Product","/products/monolith-white-ceramic-vase",,,"search",1,9,0,0,0,0
"Product","/products/blanca-3-light-rectangular-cluster-pendant-with-black-light-canopy","ig","041126_Advantage Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","direct",8,9,0,0,0,0
"Product","/products/liam-ceramic-table-lamp","ig","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",7,9,0,0,0,0
"Product","/products/japanese-ceramic-jar-small","google","ShoppingIndexdecor_23361314596","search",7,9,0,0,0,0
"Product","/products/strip-table-lamp-white-gold",,,"direct",9,9,0,0,0,0
"Product","/products/fleur-glass-ceiling-light-yellow","fb","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",4,9,0,0,0,0
"Product","/products/falcon-outdoor-hanging-ligh-bronze","ig","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",2,9,0,0,0,0
"Product","/products/lustroso-gold-and-black-metal-table-lamp-with-white-shade",,,"direct",9,9,0,0,0,0
"Product","/products/nook-bamboo-pendant-light","google","LightingShopping_21285710791","direct",4,9,0,0,0,0
"Product","/products/gorrsen-led-linear-chandelier-gold","google","LightingShopping_21285710791","direct",6,9,0,0,0,0
"Product","/products/bezel-6-light-victorian-candle-chandelier-black","fb","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",2,9,0,0,0,0
"Product","/products/antler-vertical-nordic-style-led-wall-lamp-gold",,,"direct",9,9,0,0,0,0
"Product","/products/kensington-vintage-pendant-light-shallow-cone","ig","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",1,9,0,0,0,0
"Product","/products/outdoor-black-steel-solar-wall-sconce-with-clear-lucite-shade",,,"direct",9,9,0,0,0,0
"Product","/products/ophelia-morandi-ufo-pendant-light-pink-red",,,"direct",9,9,0,0,0,0
"Product","/products/rustique-terracotta-vase-small","fb","072926_Advantage+Catalog_Terracotta_Decor_CBO_ASC_Evergreen_120246907043390384","direct",5,9,0,0,0,0
"Product","/products/crimson-ceramic-jar-small","google","ShoppingIndexdecor_23361314596","direct",1,9,0,0,0,0
"Product","/products/aplique-globe-wall-sconce","fb","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",4,9,0,0,0,0
"Product","/products/karly-ceramic-table-lamp","google","LightingShopping_21285710791","search",2,9,0,0,0,0
"Product","/products/cobe-luxe-white-ceramic-vase-large",,,"direct",9,9,0,0,0,0
"Product","/products/dried-flowers-globosa-flower-light-purple",,,"direct",2,9,0,0,0,0
"Product","/products/european-style-clear-glass-lamp-wall-lamp",,,"direct",7,9,0,0,0,0
"Collection","/collections/study-lamps","google","LightingSearchaimax_15393315826","search",6,9,0,0,0,0
"Product","/products/drop-hanging-light-amber",,,"direct",8,9,0,0,0,0
"Product","/products/aureate-creased-decorative-tray-large",,,"direct",3,9,0,0,0,0
"Product","/products/rectangular-column-led-outdoor-gate-light",,,"direct",7,9,0,0,0,0
"Product","/products/loya-led-recessed-foot-light","google","BestsellersDemandGen_23697546917","direct",7,9,0,0,0,0
"Product","/products/harumi-pomegranate-box-medium","google","ShoppingIndexdecor_23361314596","search",5,9,0,0,0,0
"Product","/products/bine-textured-ceramic-pendant-lamp","facebook","041126_Advantage Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","direct",2,9,0,0,0,0
"Product","/products/nativa-wooden-table-lamp",,,"direct",9,9,0,0,0,0
"Product","/products/decorative-pendant-lamp-globe",,,"search",2,9,0,0,0,0
"Product","/products/italian-glass-pendant-lamp",,,"direct",8,9,0,0,0,0
"Product","/products/milkstone-terracotta-vase-small","fb","081226_Prospecting_Decor&Lighting_CBO_Sales_Evergreen_120246622751400384","social",8,9,0,0,0,0
"Product","/products/pier-outdoor-pole-light-brown",,,"direct",9,9,0,0,0,0
"Product","/products/baelee-ceramic-table-lamp-home-decor-lamps-and-lighting","facebook","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","direct",4,9,0,0,0,0
"Product","/products/aurea-classic-pure-white-shade","ig","060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384","direct",5,9,0,0,0,0
"Product","/products/ember-6-light-victorian-candle-chandelier-amber","ig","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","direct",8,9,0,0,0,0
"Product","/products/junzc-wall-hanging-light-amber","ig","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",5,9,0,0,0,0
"Product","/products/indian-dried-pampas-grass-natural-beige",,,"direct",8,9,0,0,0,0
"Product","/products/verdant-chic-embroidered-cushion-cover","google","ShoppingIndexdecor_23361314596","search",5,9,0,0,0,0
"Product","/products/darya-ceramic-table-lamp","google","BestsellersDemandGen_23697546917","direct",7,9,0,0,0,0
"Product","/products/artisan-crafted-american-style-ceramic-table-lamp-with-beige-shade","ig","060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384","social",5,9,0,0,0,0
"Product","/products/elegance-glow-chinese-style-ceramic-table-lamp-with-white-shade-red","ig","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","direct",8,9,0,0,0,0
"Product","/products/portico-outdoor-wall-light-glass",,,"direct",9,9,0,0,0,0
"Product","/products/aura-woven-wall-basket-small",,,"direct",9,9,0,0,0,0
"Product","/products/folia-aged-metal-floor-lamp-black","fb","081226_Prospecting_Decor&Lighting_CBO_Sales_Evergreen_120246622751400384","direct",2,9,0,0,0,0
"Product","/products/jasmine-glass-hanging-light","ig","060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384","direct",2,9,0,0,0,0
"Product","/products/golden-apple-glass-wall-light","google","Pmaxbleeders_20714640181","search",3,9,0,0,0,0
"Product","/products/cubie-globe-pendant-light-smoky","ig","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","direct",1,9,0,0,0,0
"Product","/products/elke-table-lamp-gold-blue","ig","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",3,9,0,0,0,1
"Product","/products/collana-italian-black-ceramic-vase-large",,,"direct",6,9,0,0,0,0
"Product","/products/kembang-glass-hanging-light","google","PMaxLightingNC_16828666790","direct",5,9,0,0,0,0
"Product","/products/twilight-torch-conical-glass-metal-wall-lamp",,,"direct",6,9,0,0,0,0
"Product","/products/camellia-deco-ceramic-vase-medium","google","Pmaxbleeders_20714640181","direct",4,9,0,0,0,0
"Product","/products/umbra-3-light-rectangular-cluster-pendant-light-with-gold-ceiling-plate","facebook","041126_Advantage Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","direct",8,9,0,0,0,0
"Product","/products/ruchika-brass-serving-tray","ig","060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384","social",7,9,0,0,0,0
"Product","/products/posse-medium-outdoor-wall-light-bronze","fb","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",9,9,0,0,0,0
"Product","/products/labyrint-gold-metallic-table-lamp-pleated-shade","ig","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",6,9,0,0,1,0
"Product","/products/maria-6-light-classic-chandelier","google","Pmaxbleeders_20714640181","search",5,9,0,0,0,0
"Collection","/collections/summer-sale",,,"direct",4,9,0,0,0,0
"Product","/products/luminous-disc-pendant-light-circular","google","LightingShopping_21285710791","search",3,9,0,0,0,0
"Product","/products/linear-tube-chandelier-gold","bing","PmaxLightingBing","direct",5,9,0,0,0,0
"Product","/products/royal-blue-mix-flower-bouquet",,,"direct",9,9,0,0,0,0
"Product","/products/rowan-small-ceramic-table-lamp-white","fb","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",4,9,0.25,1,1,1
"Product","/products/europe-outdoor-hanging-light-dark-brown",,,"direct",9,9,0,0,0,0
"Product","/products/artful-outdoor-wall-light-black","facebook","041126_Advantage Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","direct",8,9,0,0,0,0
"Product","/products/aqua-terra-ceramic-sculpture",,,"direct",9,9,0,0,0,0
"Product","/products/calix-outdoor-wall-lamp-gold","ig","060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384","direct",6,9,0,0,0,0
"Product","/products/aball-2-light-pole-lamp","google","BrandShopping_23291591904","direct",6,9,0,0,0,1
"Product","/products/bezel-12-light-victorian-candle-chandelier-blue",,,"search",1,9,0,0,0,0
"Product","/products/intricately-embroidered-cotton-cushion-cover",,,"direct",9,9,0,0,0,0
"Product","/products/swan-arcylic-led-wall-light-gold","ig","081226_Prospecting_Decor&Lighting_CBO_Sales_Evergreen_120246622751400384","social",5,9,0.2,1,1,1
"Product","/products/milkstone-terracotta-vase-small","google","BestsellerVideos","search",6,9,0,0,0,0
"Product","/products/green-ceramic-jar-with-lid-large","google","ShoppingIndexdecor_23361314596","search",3,9,0,0,0,0
"Product","/products/floret-clear-glass-shade-wall-sconce","ig","041126_Advantage Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","direct",6,9,0,0,0,2
"Product","/products/marchese-6-light-crystal-chandelier-amber","ig","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","direct",4,9,0,0,0,0
"Product","/products/florence-8-light-candle-style-chandelier",,,"direct",8,9,0,0,0,0
"Product","/products/blumen-bowl-glass-ceiling-light","fb","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","direct",4,9,0,0,0,0
"Product","/products/golden-modern-metal-glass-wall-sconce","google","LightingShopping_21285710791","direct",4,9,0,0,0,0
"Product","/products/villari-3-light-linear-pendant-light-with-black-ceiling-plate","fb","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","direct",7,9,0,0,0,0
"Product","/products/fleur-glass-ceiling-light-yellow","fb","060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384","social",1,9,1,1,1,1
"Product","/products/rustique-terracotta-vase-medium","ig","060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384","direct",7,9,0,0,0,0
"Product","/products/selenite-marble-wall-light","google","Pmaxbleeders_20714640181","search",2,9,0,0,0,0
"Product","/products/aveline-ceramic-table-lamp-home-decor-lamps-and-lighting","ig","060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384","direct",6,9,0,0,0,0
"Product","/products/macaron-pyramid-pendant-lamp-black","Pinterest",,"social",1,9,0,0,0,0
"Product","/products/ember-12-light-victorian-candle-chandelier-white","facebook","041126_Advantage Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","direct",9,9,0,0,0,0
"Product","/products/sayra-table-lamp-black-shade",,,"direct",8,9,0,0,0,0
"Product","/products/avior-glass-wall-light-round",,,"direct",9,9,0,0,0,0
"Product","/products/allenglade-6-light-chandelier",,,"search",2,9,0,0,0,0
"Product","/products/jolly-pendant-lamp-amber","google","LightingShopping_21285710791","search",4,9,0,0,0,0
"Product","/products/frosted-glass-globe-gold-metal-pendant-light","ig","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","direct",4,9,0,0,0,0
"Product","/products/nordic-creative-geometric-led-pendant-light-square",,,"direct",4,9,0,0,0,0
"Product","/products/modern-globe-brass-wall-light-blue","ig","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","direct",7,9,0,0,0,0
"Product","/products/bezel-12-light-victorian-candle-chandelier-white","fb","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",6,9,0,0,0,0
"Product","/products/sky-stone-terracotta-vase-small","fb","060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384","social",1,9,0,0,0,1
"Product","/products/volado-6-light-linear-chandelier-gold","google","LightingShopping_21285710791","direct",2,9,0.5,1,1,1
"Product","/products/turkish-ceramic-vase-urn-shape","google","ShoppingIndexdecor_23361314596","search",2,9,0,0,0,1
"Product","/products/lavilla-wall-hanging-light","google","LightingShopping_21285710791","search",2,9,0,0,0,0
"Product","/products/castle-outdoor-pathway-light-black","ig","060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384","social",6,9,0,0,0,0
"Product","/products/droplet-5-light-rectangular-cluster-pendant-light-with-black-ceiling-plate","ig","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",4,9,0,0,0,0
"Product","/products/benton-study-lamp-paprika-finish","ig","041126_Advantage Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","direct",8,9,0,0,0,0
"Product","/products/rumi-ceramic-table-lamp-large","ig","041126_Advantage Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","direct",6,9,0,0,0,0
"Product","/products/ember-6-light-victorian-candle-chandelier-chrome",,,"direct",8,9,0,0,0,0
"Product","/products/sonog-gold-metallic-table-lamp-with-white-shade","google","BestsellersDemandGen_23697546917","search",7,9,0,0,0,0
"Product","/products/sunbeam-glass-pendant-light-disk-shade","google","Pmaxbleeders_20714640181","direct",3,9,0,0,0,0
"Product","/products/shimmerlux-pendant-light","ig","041126_Advantage Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","direct",4,9,0,0,0,0
"Product","/products/aurelia-orange-hemisphere-pendant-light-green","ig","060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384","direct",5,9,0,0,0,0
"Product","/products/watford-metal-lamp-home-decor-lamps-and-lighting","ig",,"direct",2,9,0,0,0,0
"Product","/products/carson-outdoor-wall-light","facebook","060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384","direct",5,9,0,0,0,0
"Product","/products/kolos-metal-floor-lamp","bing","PmaxLightingBing","direct",8,9,0,0,0,3
"Product","/products/preserved-limonium-grass-champagne-pink","ig","060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384","social",2,9,0,0,0,1
"Product","/products/zylinder-6-linear-light","facebook","041126_Advantage Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","direct",9,9,0,0,0,0
"Product","/products/leda-table-lamp-home-decor-lamps-and-lighting","fb","060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384","social",2,9,0,0,0,0
"Product","/products/valencia-black-frosted-glass-hanging-light",,,"social",4,9,0,0,0,0
"Product","/products/parachute-mesh-pendant-light-black","ig","060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384","direct",1,9,0,0,0,0
"Product","/products/flying-saucer-pendant-light-white","google","LightingShopping_21285710791","unknown",3,9,0,0,0,0
"Product","/products/elodie-knot-ceramic-sculpture-black","google","ShoppingIndexdecor_23361314596","search",4,9,0,0,0,0
"Collection","/collections/home-decor-products-in-bengaluru","google","LightingSearchaimax_15393315826","search",4,9,0,0,0,0
"Product","/products/rodan-pendant-light-silver","google","LightingShopping_21285710791","search",1,9,0,0,0,0
"Product","/products/macaron-loft-led-ceiling-light-yellow","facebook","041126_Advantage Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","direct",6,9,0,0,0,0
"Product","/products/conduit-box-wall-light-gold","ig","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",3,9,0,0,0,0
"Product","/products/fleur-glass-ceiling-light-white","fb","060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384","social",5,9,0,0,0,0
"Product","/products/monte-carlo-9-light-crystal-chandelier","ig","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",6,9,0,0,0,1
"Collection","/collections/best-sellers-indoor-lights","google","LightingSearchaimax","search",3,9,0,0,0,0
"Product","/products/harlyn-outdoor-hanging-light-medium","fb","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","direct",1,9,0,0,0,0
"Product","/products/regalia-2-light-crystal-wall-light","fb","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",9,9,0,0,0,0
"Product","/products/klaviyo-linear-gold-floor-lamp-with-barrel-shade-beige","google","Pmaxbleeders_20714640181","search",2,9,0,0,0,0
"Product","/products/the-beauty-of-symbolism-white-blue-ceramic-table-lamp",,,"search",2,9,0,0,0,0
"Product","/products/tarunika-brass-fruit-stand-silver","google","ShoppingIndexdecor_23361314596","direct",7,9,0,0,0,0
"Product","/products/crimson-ceramic-jar-medium","ig","090226_Advantage+Catalog_Decor_CBO_ASC_Evergreen_120245840731820384","social",1,9,0,0,0,0
"Product","/products/evolve-nordic-double-glass-wall-sconce","fb","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",7,9,0,0,0,0
"Product","/products/orb-pearl-chain-linear-light","google","Pmaxbleeders_20714640181","direct",1,9,0,0,0,0
"Product","/products/amaris-6-light-crystal-chandelier","ig","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","direct",6,9,0,0,0,0
"Product","/products/artful-outdoor-wall-light-black","ig","060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384","direct",6,9,0,0,0,1
"Product","/products/kiln-terracotta-vase-medium","ig","072926_Advantage Catalog_Terracotta_Decor_CBO_ASC_Evergreen_120246907043390384","direct",9,9,0,0,0,0
"Product","/products/freya-up-down-wall-light-red","ig","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","direct",9,9,0,0,0,0
"Product","/products/aska-metal-floor-lamp-beige","ig","081226_Prospecting_Decor&Lighting_CBO_Sales_Evergreen_120246622751400384","social",7,9,0,0,0,0
"Product","/products/float-wall-sconce-white","bing","PmaxLightingBing","search",5,9,0,0,0,1
"Product","/products/loop-strip-led-chandelier-gold","fb","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","direct",4,9,0,0,0,0
"Product","/products/cylindrical-marble-pendant-lamp-white","google","LightingShopping_21285710791","direct",4,9,0,0,0,0
"Product","/products/barrel-dual-glass-wall-sconce-amber",,,"direct",8,9,0,0,0,0
"Product","/products/russet-terracotta-vase-medium","google","Pmaxbleeders_20714640181","direct",7,9,0,0,0,0
"Product","/products/camellia-deco-ceramic-vase-large",,,"direct",4,9,0,0,0,0
"Product","/products/inverted-edvin-ceramic-vase-orange",,,"direct",9,9,0,0,0,0
"Product","/products/berkshire-pleated-ceramic-pendant-lamp-saucer","google","LightingShopping_21285710791","direct",5,9,0,0,0,0
"Product","/products/calix-outdoor-wall-lamp-gold","google","Pmaxbleeders_20714640181","direct",7,9,0,0,0,0
"Product","/products/storm-terracotta-vase-medium",,,"search",1,9,0,0,0,0
"Product","/products/globo-semi-flush-ceiling-light-gold","ig","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",4,9,0,0,0,0
"Product","/products/wavy-double-handle-sculptural-ceramic-vase",,,"direct",9,9,0,0,0,0
"Product","/products/elora-vase-ceramic-gold","google","ShoppingIndexdecor_23361314596","search",4,9,0,0,0,0
"Product","/products/teutonic-glass-pendant-light-amber","ig","041126_Advantage Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","direct",5,9,0,0,0,0
"Product","/products/alankrita-5-light-crystal-chandelier","facebook","060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384","direct",3,9,0,0,0,0
"Product","/products/kolos-metal-floor-lamp","bing","PmaxLightingBing","search",3,9,0,0,0,0
"Product","/products/raffia-dual-tone-table-lamp","google","LightingShopping_21285710791","direct",4,9,0,0,0,0
"Product","/products/swan-arcylic-led-wall-light-gold","google","LightingShopping_21285710791","direct",7,9,0,0,0,0
"Product","/products/gilded-long-ceramic-vase-medium","ig","060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384","social",2,9,0,0,0,0
"Product","/products/modern-boxy-outdoor-pathway-light",,,"direct",9,9,0,0,0,0
"Product","/products/black-outdoor-gate-lamp-small","google","PMaxLightingNC_16828666790","unknown",4,9,0,0,2,2
"Product","/products/sleek-dome-brass-and-amber-pendant-light",,,"direct",9,9,0,0,0,0
"Product","/products/lumen-solar-powered-outdoor-wall-light","fb","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","direct",5,9,0,0,0,1
"Product","/products/hymn-metal-vase-green-small",,,"direct",9,9,0,0,0,0
"Product","/products/yaquina-vintage-outdoor-hanging-light","fb","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",4,9,0,0,0,1
"Product","/products/anisah-handwoven-sabai-grass-hanging-wall-basket-medium-black-beige",,,"direct",9,9,0,0,0,0
"Product","/products/dry-grass-small-pampas-grass-brown","google","Pmaxbleeders_20714640181","search",3,9,0,0,0,0
"Product","/products/flambeau-3-light-victorian-wall-torch","google","LightingShopping_21285710791","direct",1,9,0,0,0,0
"Product","/products/dual-outdoor-wall-light-black",,,"direct",5,9,0,0,0,0
"Product","/products/crystal-glass-modern-gold-metal-wall-light-with-steel-brackets","google","Pmaxbleeders_20714640181","search",5,9,0,0,0,0
"Product","/products/modern-globe-brass-wall-light-blue","google","Pmaxbleeders_20714640181","search",2,9,0,0,0,0
"Product","/products/port-peacock-green-gold-ceramic-vase-open-box","google","ShoppingIndexdecor_23361314596","search",6,9,0,0,0,0
"Product","/products/ceramic-eliora-vase-desk-planter-silver",,,"direct",7,9,0,0,0,0
"Product","/products/maia-table-lamp-home-decor-lamps-and-lighting","shopify_email","If We Had to Choose Again…_172843008239","direct",1,8,0,0,0,0
"Collection","/collections/chandeliers","google","LightingShopping_21285710791","direct",7,8,0,0,0,0
"Product","/products/color-pop-dome-pendant-lamp-green","ig","041126_Advantage Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",1,8,0,0,0,0
"Product","/products/averly-6-light-crystal-chandelier-gold",,,"direct",8,8,0,0,0,0
"Product","/products/chara-ceramic-table-vase-orange",,,"direct",8,8,0,0,0,0
"Product","/products/kolos-metal-floor-lamp","ig","060326_BOF_Retargeting_CBO_Sales_Warm_Hot_Evergreen_120244319824490384","direct",5,8,0,0,0,0
"Product","/products/vista-outdoor-wall-light-brown","ig","081226_Prospecting_Decor","direct",7,8,0,0,0,0
"Product","/products/noir-royal-crystal-chandelier-black","ig","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","direct",8,8,0,0,0,0
"Product","/products/olivier-outdoor-hanging-light-black",,,"direct",8,8,0,0,0,0
"Product","/products/industrial-black-wall-light-medium","google","LightingShopping_21285710791","search",5,8,0,0,0,0
"Product","/products/crackled-terracotta-vase-small",,,"direct",8,8,0,0,0,0
"Product","/products/dimple-glass-pendant-light-amber","google","LightingShopping_21285710791","search",5,8,0,0,0,0
"Product","/products/netshell-bamboo-pendant-lamp",,,"direct",8,8,0,0,0,0
"Product","/products/vintage-outdoor-pendant-light-black","fb","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",6,8,0,0,0,0
"Product","/products/industrial-orange-ceramic-vase-medium",,,"direct",8,8,0,0,0,0
"Product","/products/lyssa-metal-floor-lamp",,,"direct",7,8,0,0,0,0
"Product","/products/bao-in-built-led-wall-sconce","facebook","041126_Advantage Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","direct",5,8,0,0,0,0
"Product","/products/grazioso-contemporary-glass-vase",,,"direct",6,8,0,0,0,0
"Product","/products/amara-12-light-victorian-candle-chandelier-transaprent-gold","ig","041126_Advantage Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","direct",6,8,0,0,0,0
"Product","/products/drum-marble-hanging-light-black",,,"direct",8,8,0,0,0,0
"Product","/products/pumpkin-outdoor-column-light-large",,,"direct",8,8,0,0,0,0
"Product","/products/the-lalam-pot-rotund-shape",,,"direct",7,8,0,0,0,0
"Product","/products/cylindrical-marble-pendant-lamp-white","google","Pmaxbleeders_20714640181","search",2,8,0,0,0,0
"Product","/products/solstice-glossy-curvy-white-ceramic-table-lamp",,,"direct",8,8,0,0,0,0
"Product","/products/veld-black-ceramic-candle-holder-large",,,"direct",8,8,0,0,0,0
"Product","/products/vista-cross-reeded-glass-outdoor-wall-light-brown","google","LightingShopping_21285710791","direct",5,8,0,0,0,1
"Product","/products/loop-white-ceramic-decorative-item","google","ShoppingIndexdecor_23361314596","direct",1,8,0,0,0,0
"Product","/products/macey-marble-wall-lamp","google","Pmaxbleeders_20714640181","search",5,8,0,0,0,0
"Product","/products/aura-6-light-victorian-chandelier","google","LightingShopping_21285710791","direct",6,8,0,0,0,0
"Product","/products/calvino-arched-outdoor-hanging-lamp-clear-glass-black","fb","041126_Advantage+Catalog_Lighting_CBO_ASC_Evergreen_120241545010470384","social",7,8,0,0,0,0
